Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
223,Private,NY,3.34,4.34,670,700,710,1370,2080,,DR,Will Attend,,
224,Public,NJ,3.52,4.85,800,710,710,1510,2220,,DR,Will Attend,,
225,Public,FL,4,4.5,540,610,660,1150,1810,31,2 of 453,Accepted,,
226,Public,VA,4,4.66,800,640,720,1440,2160,,15 of 471,Accepted,,
227,Private,MA,3.25,3.37,690,720,680,1410,2090,33,Top 25%,Denied,,
228,Public,CT,3.9,4.3,680,640,,1320,1320,29,20 of 530,Accepted,,
229,Private,FL,3.7,4.69,740,690,720,1430,2150,,Top 10%,Will Attend,,
230,Public,KS,4,4.8,720,600,,1320,1320,32,1 of 425,Accepted,,
231,Public,CA,4,4.3,660,780,790,1440,2230,32,6 of 186,Deferred,,
232,,NY,3.6,3.8,770,690,720,1460,2180,,DR,Denied,,
233,Public,CA,3.72,4.07,,,,0,0,33,DR,Will Attend,,
234,Private,NJ,4,5,710,670,720,1380,2100,,Top 10%,Will Attend,,
235,Public,OR,3.8,4.2,750,720,700,1470,2170,34,Top 10%,Withdrawn,,
236,,NY,3.96,5,800,730,760,1530,2290,,DR,Will Attend,,
237,Public,PA,4,4.2,620,710,650,1330,1980,,18 of 320,Accepted,,
238,Public,WI,3.99,4.94,,,,0,0,30,2 of 361,Accepted,,
239,Public,FL,3.72,5,550,640,630,1190,1820,32,Top 10%,Accepted,,
240,Public,CO,3.87,4.52,,,,0,0,31,,Accepted,,
241,Public,NJ,3.05,3.2,,,,0,0,34,DR,Denied,,
242,Public,CA,3.6,4.2,740,740,800,1480,2280,,Top 10%,Accepted,,
243,Public,GA,3.9,4.1,700,700,640,1400,2040,31,Top 25%,Accepted,,
244,Public,OH,3.95,4.45,770,680,690,1450,2140,34,5 of 330,Accepted,,
245,Public,NY,3.84,4.68,,,,0,0,31,Top 10%,Withdrawn,,
246,Public,CO,3.86,4.62,720,680,620,1400,2020,33,16 of 660,Accepted,,
247,Public,OH,4,4.43,760,690,690,1450,2140,34,11 of 634,Will Attend,,
248,Public,NJ,3,,620,510,600,1130,1730,,DR,Accepted,,
249,Public,NJ,3.6,4,730,650,630,1380,2010,33,DR,Denied,,
250,Public,GA,3.81,3.91,700,540,540,1240,1780,28,78 of 394,Accepted,,
251,Public,NJ,3.7,4,800,790,800,1590,2390,,DR,Accepted,,
252,Public,CA,3.58,4.24,,,,0,0,31,100 of 574,Will Attend,,
253,Public,NY,3.9,4.18,800,700,700,1500,2200,,Top 10%,Accepted,,
254,Public,PA,3.9,4.5,780,670,710,1450,2160,33,Top 10%,Will Attend,,
255,Public,MA,3.6,4.57,760,620,730,1380,2110,30,Top 10%,Denied,,
256,Public,TX,4,4,800,660,710,1460,2170,35,DR,Accepted,,
257,Public,NY,3.86,4.02,710,670,640,1380,2020,29,6 of 430,Accepted,,
258,Private,NJ,2.5,,580,610,480,1190,1670,,35 of 67,Denied,,
259,Public,MA,4,4.07,760,780,800,1540,2340,,11 of 410,Will Attend,,
260,Public,PA,4,4.6,720,690,650,1410,2060,34,2 of 140,Accepted,,
261,Public,NH,4,4.83,770,720,600,1490,2090,,5 of 322,Denied,,
262,Public,CA,3.96,4.6,760,730,630,1490,2120,33,3 of 455,Denied,,
263,Public,CO,3.9,4.2,700,670,700,1370,2070,32,11 of 537,Denied,,
264,Public,NJ,3.78,3.96,730,750,760,1480,2240,33,22 of 550,Accepted,,
265,Public,NJ,3.73,3.97,730,750,760,1480,2240,33,21 of 526,Accepted,,
266,Public,NY,4,4,740,760,,1500,1500,,Top 10%,Will Attend,,
267,Home,CT,3.89,,690,780,720,1470,2190,,32 of 497,Accepted,,
268,Private,CT,3.8,,,,,0,0,32,Top 10%,Accepted,,
